ID,UPA,EventDate,Employer,Address1,Address2,City,State,Zip,Latitude,Longitude,Primary NAICS,Hospitalized,Amputation,Loss of Eye,Inspection,Final Narrative,Nature,NatureTitle,Part of Body,Part of Body Title,Event,EventTitle,Source,SourceTitle,Secondary Source,Secondary Source Title,FederalState
2015010081,930623,1/5/2015,Perry Nuclear Power Plant,10 Central Rd.,,PERRY,OHIO,44081,41.76,-81.14,221122,1,0,0,,"An employee walking from the parking lot en route to his assigned work area slipped, tearing his quadriceps tendon. The employee was discharged from the ER, but later returned to Lake West hospital that evening and was admitted. The employee has since been scheduled for surgery.",1231,"Major tears to muscles, tendons, ligaments",511,Thigh(s),4110,"Slip without fall, unspecified",562,"Bodily motion or position of injured, ill worker",,,1
2015010109,931136,1/5/2015,"Rocky Mountain Electric, LLC",O St & County Rd 39 1/2,,GREELEY,COLORADO,80631,40.41,-104.69,238210,1,0,0,,"On Monday, January 5, 2014, an employee slipped on ice while walking to his work truck at a job site.  The employee sustained an injury to his neck and was admitted to the hospital that day.",1972,"Soreness, pain, hurt-nonspecified injury",20,"Neck, except internal location of diseases or disorders",422,Fall on same level due to slipping ,562,"Bodily motion or position of injured, ill worker",9273,"Ice, sleet, snow",1
2015010120,931997,1/6/2015,Centrim Electric Inc.,527 Old Bridge Rd.,,EAST BRUNSWICK,NEW JERSEY,08816,40.46,-74.4,238210,1,0,0,1017667,A stack of 12 x 4 foot panels of sheet rock in the hallway of an under construction building fell on the employee and broke his leg.,111,Fractures,510,"Leg(s), unspecified",6239,"Struck by falling object or equipment, n.e.c.",4198,"Wallboard, drywall, sheetrock",,,1
2015010129,930746,1/6/2015,TIP TOP ROOFERS SERVICE CORP.,2100 College Station Road,,ATHENS,GEORGIA,30601,33.97,-83.36,236220,1,0,0,1018035,"A worker was hospitalized on 01/06/2015 at 3:30 p.m. After doing some clean-up work on a roof, he fell approximately 8.5 to 9 feet while descending a ladder. The worker fractured his leg  and was hospitalized overnight at Athens Regional Medical Center. He underwent surgery, at which time a pin was inserted in the tibia of the fractured leg.",111,Fractures,513,Lower leg(s),4332,Other fall to lower level 6 to 10 feet,740,"Ladders, unspecified",,,1
2015010146,930752,1/6/2015,ASTRO BUILDINGS INC.,17400 N. 84th Street,,LINCOLN,NEBRASKA,68517,40.98,-96.6,236220,1,0,0,,"On January 6, 2015, a worker sustained a fracture to the right ankle after slipping on ice at a construction site located at 17400 N. 84th Street, Lincoln, NE  68517.",111,Fractures,52,Ankle(s),40,"Fall, slip, trip, unspecified ",660,"Floors, walkways, ground surfaces, unspecified",9273,"Ice, sleet, snow",1
2015010177,931190,1/7/2015,RICHARDSON BROTHERS ELECTRIC INC.,"Hoy Parking Garage, Hoy Road",Cornell Campus,ITHACA,NEW YORK,14850,42.44,-76.49,238210,0,1,0,,"The worker was cutting the tip of a tube of material with a utility knife. The knife slipped and the tip of the worker's left index finger was cut off. 
Urgent care stitched on the tip of finger and there was no lost time. The worker was wearing gloves.",1311,Amputations,4422,Fingertip(s),6252,Injured by slipping or swinging object held by injured worker,7124,Box cutters and razor knives,,,1
2015010267,931049,1/8/2015,"Underwood Electric, Inc.",74 Hob Road,,CORINTH,MAINE,04427,44.98,-69.01,238210,1,0,0,1017797,"Around 10 am yesterday morning, an employee fell from an aerial lift while working on a pellet unit.",10,"Traumatic injuries and disorders, unspecified",9999,Nonclassifiable,4330,"Other fall to lower level, unspecified",3467,"Aerial lifts, scissor lifts-except truck-mounted",,,1
2015010277,930927,1/8/2015,Hewitt Young Electric,One Lomb Memorial Drive,,ROCHESTER,NEW YORK,14623,43.08,-77.67,238210,1,0,0,1018982,Employee working from a ladder on live electrical circuitry received an electrical shock during testing and service installation. The employee fell from the ladder.,193,"Electrocutions, electric shocks",6,BODY SYSTEMS,4330,"Other fall to lower level, unspecified",740,"Ladders, unspecified",4410,"Electric parts, unspecified",1
2015010298,931406,1/8/2015,"Consolidated Edison Company of New York, Inc.",152 Henry Street,,BROOKLYN,NEW YORK,11201,40.69,-73.99,221122,0,1,0,,Employee severed finger when an industrial metal door closed on his pinky finger.,1311,Amputations,4429,"Finger(s), fingernail(s), n.e.c.",6261,Struck by or caught in swinging door or gate,6511,"Doors, except garage and vehicle",,,1
2015010323,931318,1/9/2015,Comcast,1015 North Weber Street,,COLORADO SPRINGS,COLORADO,80903,38.84,-104.81,238210,1,0,0,,"An employee was exposed to falls in excess of four feet while working from a ladder to install a communications cable. The ladder slipped, resulting in the employee suffering a fractured tibia.",111,Fractures,513,Lower leg(s),4330,"Other fall to lower level, unspecified",740,"Ladders, unspecified",,,1
2015010397,931927,1/12/2015,"Arkansas Electric Cooperatives, Inc.",End of Hwy 112,,FORT SMITH,ARKANSAS,72908,35.3,-94.41,221122,0,1,0,,"The employee was tightening a belt on the wood chipper. After the repair, the employee turned the machine off. While the machine was coasting to a stop the employee got his left hand caught between the belt and pulley of the wood chipper, resulting in the amputation of two fingers.",1311,Amputations,4429,"Finger(s), fingernail(s), n.e.c.",6411,"Caught in running equipment or machinery during maintenance, cleaning ",3234,Chippers,,,1
2015010184,932123,1/13/2015,BMF Solutions,805 Ag Cleaver St.,,PRAIRIE VIEW,TEXAS,77446,30.08,-95.99,238210,0,1,0,,"The injured employee was installing a back flow preventer in the vertical. The employee was using a chain fall and attempting to place a gasket between the piping. The chain fall ""jumped"" and the pipe landed on his left thumb, which was resting on the pipe's flange. The tip of this left thumb was amputated at the nail bed and could not be reattached. 

The incident occurred in the Ag Building fire pump room.",1311,Amputations,4422,Fingertip(s),620,"Struck by object or equipment, unspecified",4120,"Pipes, ducts, tubing, unspecified",,,1
2015010517,933620,1/16/2015,"Enterprise Electric, LLC",2450 N Orange Blossom Trail,,KISSIMMEE,FLORIDA,34744,28.31,-81.4,238210,1,0,0,,"An employee was installing a light fixture. He was shocked and fell from the 8-foot, A-frame ladder he was using, with his feet about 4 feet off the ground. When he was shocked, the ladder and he fell in opposite directions. He has some tingling in his right arm and restrictions for both arms until further evaluation.",193,"Electrocutions, electric shocks",6,BODY SYSTEMS,4331,Other fall to lower level less than 6 feet,7422,Step ladders,2241,"Lamps, light fixtures",1
2015010543,933174,1/16/2015,"I Am Construction, LLC",1200 North Hwy. 288B,,RICHWOOD,TEXAS,77531,29.01,-95.4,236220,1,0,0,1019699,"The worker was taking photos of the project from the roof, when he stepped back and fell through a sky light. He fell 22 feet to the concrete floor below.",10,"Traumatic injuries and disorders, unspecified",9999,Nonclassifiable,4325,Fall through surface or existing opening 21 to 25 feet ,6541,Skylights,,,1
